researcher_id,openalex_id,orcid,full_name,name_variants,openalex_profile_url,identity_status,identity_confidence,identity_match_method,institution_id,institution_name_raw,institution_name_normalized,institution_country_code,institution_type,publication_count,works_count_source,citation_count,h_index,first_publication_year,latest_publication_year,career_span_years,publications_last_3y,publications_last_5y,avg_citations_per_work,publication_cagr_3y,spatial_transcriptomics_flag,spatial_transcriptomics_count,single_cell_flag,single_cell_count,visium_flag,visium_count,xenium_flag,xenium_count,merfish_flag,merfish_count,slide_seq_flag,slide_seq_count,atac_seq_flag,atac_seq_count,multiome_flag,multiome_count,ngs_flag,technology_diversity_count,technology_recency_year,unique_coauthor_count,institution_collaboration_count,primary_source,evidence_count,feature_completeness_rate,record_quality_score,collection_run_id,pipeline_version,ontology_version,feature_dictionary_version,collected_at,validation_issue_count,warning_count
A5069469573,A5069469573,0000-0001-8767-9033,Kwangil Yim,"K. Yim|KWANGIL YIM|Kwang Il Yim|Kwang-Il Yim|Kwang-il Yim|Kwangil Yim|Yim, Kwangil",https://openalex.org/A5069469573,verified,1.0,provided_openalex_id,I4210106953,The Catholic University of Korea Uijeongbu St. Mary's Hospital,The Catholic University of Korea Uijeongbu St. Mary's Hospital,KR,healthcare,72,OpenAlex,663,15,2010,2026,17,29,44,9.2083,0.1154,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025,221,46,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5069564463,A5069564463,0000-0002-6607-2117,Ji‐Youn Sung,"J SUNG|J. Sung|J. Y. Sung|JI-YOUN SUNG|Ji-Youn Sung|Jiyoun Sung|Ji‐Youn Sung|Sung J. Ma|Sung, Ji-Youn",https://openalex.org/A5069564463,verified,1.0,provided_openalex_id,I35928602,Kyung Hee University,Kyung Hee University,KR,education,130,OpenAlex,2126,25,1995,2026,32,20,30,16.3538,0.4286,1,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2026,575,107,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5070011199,A5070011199,0000-0002-2666-2104,Daeun Ryu,D. Ryu|D.B. Ryu|Da-eun Ryu|Daeun Ryu,https://openalex.org/A5070011199,verified,1.0,provided_openalex_id,I94588446,Hongik University,Hongik University,KR,education,88,OpenAlex,1250,13,2012,2026,15,2,58,14.2045,-0.9649,1,6,1,43,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2024,170,31,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5070538830,A5070538830,0000-0002-5804-8790,Moonsik Kim,MOONSIK KIM|Moonsik Kim|S J Kim|S. J. Kim,https://openalex.org/A5070538830,verified,1.0,provided_openalex_id,I2801673063,Kyungpook National University Hospital,Kyungpook National University Hospital,KR,healthcare,49,OpenAlex,812,13,1995,2026,32,11,25,16.5714,-0.4211,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2026,138,36,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5071885891,A5071885891,0000-0002-5400-0466,Won Seog Kim,"Kim, Won Seog|Seok Jin Kim|W S Kim|WON SEOG KIM|Won Seog Kim|Won Seog kim|Won-Seog Kim",https://openalex.org/A5071885891,verified,1.0,provided_openalex_id,I2802194831,Samsung Medical Center,Samsung Medical Center,KR,healthcare,765,OpenAlex,20504,66,1997,2026,30,91,186,26.8026,-0.3767,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025,2764,1082,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5072381269,A5072381269,0000-0002-9599-4970,Sun‐ju Byeon,"Byeon SJ|Byeon, Sun-Ju|SUN-JU BYEON|Sun Ju Byeon|Sun-Ju Byeon|Sun-ju Byeon|Sunju Byeon|Sun‐Ju Byeon|Sun‐ju Byeon",https://openalex.org/A5072381269,verified,1.0,provided_openalex_id,I4210119120,Daejeon Sun Hospital,Daejeon Sun Hospital,KR,healthcare,75,OpenAlex,1132,20,2011,2025,15,3,17,15.0933,-0.85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025,409,81,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5073268857,A5073268857,0000-0002-6694-9177,Chung Whan Lee,"Chung Whan Lee|Chung Whan Lee|Lee, Chung Whan",https://openalex.org/A5073268857,verified,1.0,provided_openalex_id,I12832649,Gachon University,Gachon University,KR,education,26,OpenAlex,307,11,2009,2026,18,8,13,11.8077,0.6,1,5,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2026,63,20,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5073934092,A5073934092,0000-0001-8097-4662,Jae Myoung Suh,J. M. Suh|J.M. Suh|JAE MYOUNG SUH|Jae M. Suh|Jae Myoung Suh|Jae Myoung Suh,https://openalex.org/A5073934092,verified,1.0,provided_openalex_id,I157485424,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,KR,education,68,OpenAlex,7242,29,1996,2026,31,8,23,106.5,-0.6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2025,458,129,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5074483970,A5074483970,0000-0002-6323-0714,Cheorl‐Ho Kim,C H Kim|C KIM|C Kim|C-H Kim|C. H. KIM|C. H. Kim|C.-H. KIM|C.-H. Kim|C.H. Kim|CH Kim|CHEORL-HO KIM|CHEORL‐HO KIM|Ch Kim|Ch. Kim|Cheorl Ho KIM|Cheorl Ho Kim|Cheorl-Ho KIM|Cheorl-Ho Kim|Cheorl-Ho Kim (436162)|Cheorl-Ho Kims|Cheorl-ho KIM|Cheorl‐Ho Kim|Chul Ho Kim|Kyoung-Sook Kim,https://openalex.org/A5074483970,verified,1.0,provided_openalex_id,I848706,Sungkyunkwan University,Sungkyunkwan University,KR,education,801,OpenAlex,15605,62,1966,2026,61,70,105,19.4819,0.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,2025,1569,263,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5074645251,A5074645251,0000-0001-7948-1350,Jung‐Yun Lee,J.-Y. Lee|JUNG-YUN LEE|Jung Lee|Jung Yoon Lee|Jung Yun Lee|Jung-Yun Lee|JungYun Lee|Jungyun LEE|Jung‐Yun Lee,https://openalex.org/A5074645251,verified,1.0,provided_openalex_id,I193775966,Yonsei University,Yonsei University,KR,education,608,OpenAlex,8443,43,1990,2026,37,181,375,13.8865,-0.2026,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025,1481,644,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
