researcher_id,openalex_id,orcid,full_name,name_variants,openalex_profile_url,identity_status,identity_confidence,identity_match_method,institution_id,institution_name_raw,institution_name_normalized,institution_country_code,institution_type,publication_count,works_count_source,citation_count,h_index,first_publication_year,latest_publication_year,career_span_years,publications_last_3y,publications_last_5y,avg_citations_per_work,publication_cagr_3y,spatial_transcriptomics_flag,spatial_transcriptomics_count,single_cell_flag,single_cell_count,visium_flag,visium_count,xenium_flag,xenium_count,merfish_flag,merfish_count,slide_seq_flag,slide_seq_count,atac_seq_flag,atac_seq_count,multiome_flag,multiome_count,ngs_flag,technology_diversity_count,technology_recency_year,unique_coauthor_count,institution_collaboration_count,primary_source,evidence_count,feature_completeness_rate,record_quality_score,collection_run_id,pipeline_version,ontology_version,feature_dictionary_version,collected_at,validation_issue_count,warning_count
A5100740580,A5100740580,0000-0002-5728-912X,Jihwan Park,"J Park|J. Park|JIHWAN PARK|Jihwan Park|Jihwan Park Jihwan Park|Jiwhan Park|Joon Seok Park|Park, Jihwan",https://openalex.org/A5100740580,verified,1.0,provided_openalex_id,I39534123,Gwangju Institute of Science and Technology,Gwangju Institute of Science and Technology,KR,education,202,OpenAlex,8986,38,1998,2026,29,61,104,44.4851,0.1731,1,5,1,159,0,0,0,0,0,0,0,0,1,5,1,11,0,4,2026,981,378,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100771881,A5100771881,0000-0002-5869-221X,Jae Eun Lee,Jae Eun LEE|Jae Eun Lee|Jae Eun Lee (9175632),https://openalex.org/A5100771881,verified,1.0,provided_openalex_id,I157485424,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,KR,education,81,OpenAlex,1516,20,2002,2026,25,16,26,18.716,0.0667,1,6,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,3,2025,255,70,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5100772900,A5100772900,0000-0002-6774-1829,Jae Hun Kim,"Ho Young Lim|J.H. Kim|Jae  Hun Kim|Jae Hun Kim|Jae Yun Kim|Jae-Hun Kim|Jae-hun Kim|Jae Hun Kim|Jae‐Hun Kim|Kim, Jae Hun|Kim, Jae-Hun|김재훈",https://openalex.org/A5100772900,verified,1.0,provided_openalex_id,I35928602,Kyung Hee University,Kyung Hee University,KR,education,167,OpenAlex,3540,25,1988,2026,39,13,32,21.1976,-0.4583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,632,191,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101260841,A5101260841,,Junseo Seo,Junseo Seo,https://openalex.org/A5101260841,verified,1.0,provided_openalex_id,I141371507,Soongsil University,Soongsil University,KR,education,1,OpenAlex,8,1,2023,2023,1,0,1,8.0,-1.0,1,3,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2023,5,1,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101445353,A5101445353,0000-0003-4156-9212,Yeon Hee Park,"Park, Yeon Hee|Woo Chan Park|Y.H. Park|YEON HEE PARK|Yeon Hee Park|Yoon Ah Park",https://openalex.org/A5101445353,verified,1.0,provided_openalex_id,I2802194831,Samsung Medical Center,Samsung Medical Center,KR,healthcare,394,OpenAlex,17820,49,1997,2026,30,100,217,45.2284,-0.3421,1,8,1,8,1,2,0,0,0,0,0,0,0,0,1,21,1,5,2025,1575,630,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101593845,A5101593845,0000-0001-8430-3903,Chan Woo Kim,"Chan Woo Kim|Kim, Chan Woo",https://openalex.org/A5101593845,verified,1.0,provided_openalex_id,I1321686444,Westchester Medical Center,Westchester Medical Center,US,healthcare,110,OpenAlex,3925,33,1985,2025,41,7,11,35.6818,-0.5333,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2022,341,102,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101638524,A5101638524,0000-0001-7815-8439,Areum Jo,"Areum Jo|Jo A. Van Ginderachter (285905)|Jo, Areum",https://openalex.org/A5101638524,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,48,OpenAlex,765,10,2015,2024,10,12,40,15.9375,-0.5714,1,1,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024,93,20,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101667014,A5101667014,0000-0003-2522-3115,Eunhye Park,Eun-Hye PARK|Eun-Hye Park|Eun-hye Park|Eunhye Park,https://openalex.org/A5101667014,verified,1.0,provided_openalex_id,I138925566,Ewha Womans University,Ewha Womans University,KR,education,110,OpenAlex,1234,18,2000,2025,26,8,29,11.2182,-0.75,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2022,310,82,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101725413,A5101725413,0000-0003-4878-8733,Seung‐Ah Yoo,S. Yoo|S.A. Yoo|SEUNG-AH YOO|Seung-Ah Yoo|Seung-ah Yoo|Seung‐Ah Yoo|Yoo Seung-Ah,https://openalex.org/A5101725413,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,73,OpenAlex,2435,30,2002,2025,24,7,16,33.3562,-0.3,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025,260,84,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101765150,A5101765150,0000-0002-6679-6086,Seung Eun Baek,"Baek, Seung Eun|S. Baek|S.E. Baek|S.E. baek|Seung E. Baek|Seung Eun Baek",https://openalex.org/A5101765150,verified,1.0,provided_openalex_id,I4210104335,Institute for Basic Science,Institute for Basic Science,KR,facility,42,OpenAlex,466,12,2013,2025,13,8,16,11.0952,-0.2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,1,3,0,4,2025,151,37,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101905019,A5101905019,0000-0002-4670-0390,Jangho Kim,"J. H. Kim|J. Kim|J.H. Kim|J. H. Kim|Jangho KIM|Jangho Kim|Kim, J.|Kim, J. H.|Kim, Jangho",https://openalex.org/A5101905019,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,129,OpenAlex,930,17,1986,2025,40,13,29,7.2093,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,434,99,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101966875,A5101966875,0000-0002-2161-4488,Chul‐Ho Kim,C.-H. Kim|Chul-Ho Kim|Chulho Kim|Chul‐Ho Kim|Chul‑Ho Kim,https://openalex.org/A5101966875,verified,1.0,provided_openalex_id,I4210116862,Il-Yang Pharmaceutical (South Korea),Il-Yang Pharmaceutical (South Korea),KR,company,201,OpenAlex,4379,40,1984,2025,42,35,57,21.7861,0.0938,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2024,534,121,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5101984443,A5101984443,0000-0001-8536-1179,Jong Hee Lee,"JONG HEE LEE|Jong Hee LEE|Jong Hee Lee|Jong-Hee Lee|Jong Hee Lee|Jong‐Hee Lee|Lee, Jong Hee",https://openalex.org/A5101984443,verified,1.0,provided_openalex_id,I2250650973,Samsung (South Korea),Samsung (South Korea),KR,company,226,OpenAlex,2748,30,1996,2026,31,34,64,12.1593,-0.1707,1,4,1,13,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2024,471,139,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5102629578,A5102629578,,Youngmin Chung,"Chung, Youngmin|Y. M. Chung|Youngmin Chung",https://openalex.org/A5102629578,verified,1.0,provided_openalex_id,I848706,Sungkyunkwan University,Sungkyunkwan University,KR,education,4,OpenAlex,153,3,1993,2024,32,2,2,38.25,2.0,1,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2024,7,3,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5103042371,A5103042371,0000-0002-6941-192X,Sung Ki Lee,"Jeong Ho Lee|Lee, S.K.|Lee, Sung Ki|S.K. Lee|Sung  Ki Lee|Sung K. Lee|Sung Ki Lee|Sungki Lee",https://openalex.org/A5103042371,verified,1.0,provided_openalex_id,I165028127,Konyang University,Konyang University,KR,education,110,OpenAlex,2093,22,1992,2026,35,13,32,19.0273,-0.48,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026,390,99,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5103233378,A5103233378,0000-0002-5840-1638,Kyo Young Song,K Y Song|K. Song|K. Y. Song|K.Y. Song|KYO YOUNG SONG|Kyo Yong Song|Kyo Young Song|Kyo-Young Song|Kyo-young Song,https://openalex.org/A5103233378,verified,1.0,provided_openalex_id,I4210160144,The Catholic University of Korea Seoul St. Mary's Hospital,The Catholic University of Korea Seoul St. Mary's Hospital,KR,healthcare,288,OpenAlex,9039,47,2003,2026,24,15,43,31.3854,-0.6341,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024,694,233,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5104189735,A5104189735,,Jaewoo Mo,Jaewoo Mo,https://openalex.org/A5104189735,verified,1.0,provided_openalex_id,I141371507,Soongsil University,Soongsil University,KR,education,3,OpenAlex,9,1,2023,2026,4,2,3,3.0,1.0,1,4,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024,23,10,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5106557026,A5106557026,0000-0001-9006-4881,Young Tae Kim,"J Kim|Jhingook Kim|Jina Kim|Ju Han Kim|Kim, Young Tae|Kim, Young-Tae;Suh, Sang-Ryong;|Kim,Young-Tae|Y KIM|Y T Kim|Y. T. Kim|Y.T. Kim|Y.W. Kim|YOUNG TAE KIM|Yong Tae Kim|Young  Tae Kim|Young Do Kim|Young Ho Kim|Young Jin Kim|Young Kim|Young Mog Shim|Young T Kim|Young T. Kim|Young Tae KIM|Young Tae Kim|Young tae Kim|Young-Tae KIM|Young-Tae Kim|Young-tae Kim|YoungTae Kim|Youngtae Kim|Young Tae Kim|Young‐Tae Kim|Young‐tae Kim",https://openalex.org/A5106557026,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,897,OpenAlex,29350,81,1970,2025,56,49,167,32.7202,-0.65,1,34,1,16,1,2,0,0,0,0,1,2,0,0,0,0,1,5,2025,3228,674,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5107838719,A5107838719,,Klaus‐Robert Müller,"KLAUS-ROBERT MÜLLER|Klaus-Robert Muller|Klaus-Robert Müller|Klaus-Robert Müller|Klaus-robert Muller|Klaus-robert Müller|Klaus‐Robert Müller|Muller, Klaus-Robert|Müller, K.-R.|Müller, Klaus-Robert|Müller, Klaus-Robert 1964-|Müller, N.",https://openalex.org/A5107838719,verified,1.0,provided_openalex_id,I197347611,Korea University,Korea University,KR,education,713,OpenAlex,74826,111,1989,2026,38,52,119,104.9453,-0.5229,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,1143,369,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5109170456,A5109170456,,Yee Soo Chae,"Chae, Yee Soo|Maria Coccia-Portugal|YEE SOO CHAE|Yee Soo Chae|Yee Soo Chae",https://openalex.org/A5109170456,verified,1.0,provided_openalex_id,I2801673063,Kyungpook National University Hospital,Kyungpook National University Hospital,KR,healthcare,304,OpenAlex,7632,37,1999,2026,28,44,74,25.1053,0.0476,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2026,1497,399,OpenAlex,70,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5109616230,A5109616230,,Minkyo Jung,"Jung, Minkyo|Min-Kyo Jung|Min-kyo Jung|MinKyo Jung|Minkyo Jung|Min‐Kyo Jung|Min‐kyo Jung",https://openalex.org/A5109616230,verified,1.0,provided_openalex_id,I4210111434,Korea Institute of Machinery & Materials,Korea Institute of Machinery & Materials,KR,facility,68,OpenAlex,1576,19,2007,2026,20,16,34,23.1765,-0.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,422,125,OpenAlex,69,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5110118275,A5110118275,,Chorong Seo,C R Seo|C Seo|Cho-Rong Seo|Chorong Seo,https://openalex.org/A5110118275,verified,1.0,provided_openalex_id,I104338594,Inje University,Inje University,KR,education,22,OpenAlex,398,11,2012,2024,13,5,8,18.0909,0.6667,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024,108,38,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5110208084,A5110208084,,Hye Jeong Oh,Hye Jeong Oh,https://openalex.org/A5110208084,verified,1.0,provided_openalex_id,I16764540,University of Suwon,University of Suwon,KR,education,37,OpenAlex,608,9,2010,2025,16,4,19,16.4324,-0.75,1,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2024,73,31,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5110948257,A5110948257,0000-0003-4158-9790,Kwon Joong Na,"Kwon J. Na|Kwon Joong Na|Na, Kwon Joong|Na,Kwon Joong",https://openalex.org/A5110948257,verified,1.0,provided_openalex_id,I139264467,Seoul National University,Seoul National University,KR,education,170,OpenAlex,1481,19,2012,2026,15,87,121,8.7118,0.9333,1,94,1,50,1,23,1,16,0,0,1,2,0,0,0,0,1,6,2026,310,91,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5111031978,A5111031978,,Cho Hyun Hwang,Cho Hyun Hwang,https://openalex.org/A5111031978,verified,1.0,provided_openalex_id,I35928602,Kyung Hee University,Kyung Hee University,KR,education,2,OpenAlex,10,1,2023,2023,1,0,2,5.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2,OpenAlex,70,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5111700801,A5111700801,,B. J. Park,B. J. Park|Beomsu Park,https://openalex.org/A5111700801,verified,1.0,provided_openalex_id,I141371507,Soongsil University,Soongsil University,KR,education,6,OpenAlex,175,2,2004,2026,23,2,3,29.1667,1.0,1,6,1,7,1,4,0,0,0,0,0,0,0,0,0,0,0,3,2026,28,14,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5112655953,A5112655953,,Dong-Jin Han,Dong-Jin Han,https://openalex.org/A5112655953,verified,1.0,provided_openalex_id,I87111246,Catholic University of Korea,Catholic University of Korea,KR,education,2,OpenAlex,98,2,2021,2024,4,1,1,49.0,0.0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024,26,8,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5112850024,A5112850024,,Young Hyeh,Young Hyeh,https://openalex.org/A5112850024,verified,1.0,provided_openalex_id,I848706,Sungkyunkwan University,Sungkyunkwan University,KR,education,1,OpenAlex,43,1,2022,2022,1,0,1,43.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37,26,OpenAlex,70,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5113080525,A5113080525,,Seo-Yeong Lee,Seo-Yeong Lee,https://openalex.org/A5113080525,verified,1.0,provided_openalex_id,I193775966,Yonsei University,Yonsei University,KR,education,2,OpenAlex,66,1,2023,2024,2,1,2,33.0,0.0,1,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2024,17,10,OpenAlex,71,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5113327383,A5113327383,,In-Kyu Lee,In-Kyu Lee,https://openalex.org/A5113327383,verified,1.0,provided_openalex_id,I2801673063,Kyungpook National University Hospital,Kyungpook National University Hospital,KR,healthcare,12,OpenAlex,909,10,2022,2024,3,5,12,75.75,-0.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,169,64,OpenAlex,69,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5114549702,A5114549702,0000-0003-2316-6073,Seungho Lee,SEUNG-HO LEE|Seung-Ho Lee|Seungho Lee,https://openalex.org/A5114549702,verified,1.0,provided_openalex_id,I197347611,Korea University,Korea University,KR,education,32,OpenAlex,279,6,1993,2025,33,23,24,8.7188,22.0,1,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024,95,41,OpenAlex,73,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
A5114626485,A5114626485,0000-0001-9028-6919,Seok‐Hyung Kim,Hyo Jeong Kim|S.H. Kim|SEOK-HYUNG KIM|Seok-Hyung Kim|Seok-Hyung Kim (280362)|Seok-hyung Kim|Seok‐Hyung Kim,https://openalex.org/A5114626485,verified,1.0,provided_openalex_id,I4210134376,CHA University Bundang Medical Center,CHA University Bundang Medical Center,KR,healthcare,111,OpenAlex,2926,31,2001,2026,26,11,35,26.3604,-0.6071,1,1,1,13,0,0,0,0,0,0,0,0,1,4,0,0,1,4,2025,462,84,OpenAlex,72,1.0,100.0,20260731T085741Z,1.1.0,1.1,1.1,2026-07-31T08:57:41.782804+00:00,0,0
