researcher_id_a,researcher_id_b,window,joint_publication_count,first_joint_year,latest_joint_year,source,collected_at,run_id
A5014354862,A5112655953,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5100713453,all,2,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5042831733,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5103233378,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5056137004,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5114549702,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5100719073,all,6,2020,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5015062816,A5077187526,all,3,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5015062816,A5100740580,all,17,2020,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016008254,A5045410556,all,2,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016008254,A5064908728,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016008254,A5100740580,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016008254,A5073268857,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016008254,A5038666848,all,3,2023,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5020433927,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5038321538,all,4,2021,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5022448366,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5039165896,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5060670063,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5100380876,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5043815269,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5016338335,A5031068192,all,24,2017,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5058838920,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5052602817,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5101667014,all,6,2017,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5018869966,all,6,2021,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5101593845,all,16,2017,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5017051670,A5028507019,all,64,2012,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
