researcher_id,name,institution,statistical_score,expert_score,segment
A5110948257,Kwon Joong Na,Seoul National University,70.52637114579554,100.0,Strategic Target
A5053879044,Sungwoo Bae,Seoul National University,65.16745070863199,97.43881742447631,Strategic Target
A5057036329,Hongyoon Choi,Seoul National University,82.1354351050146,95.82696846410856,Strategic Target
A5100719073,Tae‐Min Kim,Catholic Medical Center,98.83473989825363,93.76653587677322,Strategic Target
A5027741708,Jaemoon Koh,Seoul National University Hospital,76.43169408892962,91.43512323655195,Strategic Target
A5023527433,Sung Hak Lee,LG (United States),91.48774803310657,90.42696779270106,Strategic Target
A5106557026,Young Tae Kim,Seoul National University,100.0,85.78303458800686,Strategic Target
A5101445353,Yeon Hee Park,Samsung Medical Center,78.02973011910535,82.76555550581313,Strategic Target
A5011844783,Jeongbin Park,Seoul National University,47.63992961105626,82.21905779741758,Emerging Adopter
A5014147627,Junho K. Hur,Hanyang University,74.56124692059251,81.95998640379058,Strategic Target
A5017735770,Hoon Hur,Ajou University,80.76895873188347,80.18720255667165,Strategic Target
A5070011199,Daeun Ryu,Hongik University,65.51781909026424,78.92744230420456,Strategic Target
A5067428277,Hyung‐Jun Im,Seoul National University of Science and Technology,74.42899225222975,78.70089008062627,Strategic Target
A5100740580,Jihwan Park,Gwangju Institute of Science and Technology,69.76617320579362,77.14757356892096,Strategic Target
A5058349680,Yun Hak Kim,Pusan National University Yangsan Hospital,66.96907160560227,75.8951893783718,Strategic Target
A5044769724,Hansong Lee,Pusan National University Yangsan Hospital,43.92009534449373,75.20607005129126,Emerging Adopter
A5045212145,Joo Sang Lee,National Cancer Institute,64.9116123756731,73.18991808972456,Strategic Target
A5006671739,Rosalind H. Lee,Gwangju Institute of Science and Technology,36.205603984710464,72.94849995366368,Emerging Adopter
A5100726747,Sumin Lee,Korea Meteorological Administration,49.10880096318654,71.31480044445529,Emerging Adopter
A5045748813,Ju Hyun Yun,Ewha Womans University,39.047908249834705,69.70160976458354,Emerging Adopter
A5004152384,Joonho Shim,Instituto Benjamin Constant,70.52521706740606,69.42409367547016,Strategic Target
A5014354862,Dagyeong Lee,University of Suwon,47.313778963153105,68.70338654581609,Emerging Adopter
A5026578909,Junil Kim,Soongsil University,54.89504120140709,67.75965229071626,Strategic Target
