researcher_id,name,institution,statistical_score_100,expert_score_100,commercial_priority_score,commercial_rank
A5052602817,Sun Shin,Korea Institute of Energy Research,53.59570485898669,42.95197217179954,49.33821178411183,79
A5068518101,Tae-Kyung Kim,Pohang University of Science and Technology,55.3557651880323,40.1351562946743,49.2675216306891,80
A5100723831,Seungchan Kim,Plastic Surgery Hospital,56.808409707335116,37.3733685921793,49.03439326127279,81
A5110118275,Chorong Seo,Inje University,51.92432883537376,44.0104951913924,48.75879537778121,82
A5046207199,Juyoung Yoon,Ewha Womans University,58.271623871370714,34.437317246394635,48.737901221380284,83
A5044524626,Yoo Seob Shin,Yonsei University,55.79493184864008,37.41531406744849,48.44308473616345,84
A5101638524,Areum Jo,Catholic University of Korea,38.939786817461425,61.51259214480373,47.96890894839835,85
A5011272746,Yun‐Gon Kim,Soongsil University,57.88826941064079,32.96029709930275,47.917080486105576,86
A5040514663,Jinyeong Choi,Korea Exercise Rehabilitation Association,44.175187150390805,53.390132664589075,47.86116535607012,87
A5073268857,Chung Whan Lee,Gachon University,46.05381114045745,50.3957163925237,47.79057324128395,88
A5074645251,Jung‐Yun Lee,Yonsei University,45.39101449862765,51.339617030685105,47.770455511450635,89
A5069564463,Ji‐Youn Sung,Kyung Hee University,50.108446397122684,43.81705332024999,47.591889166373605,90
A5056969461,Beomseok Jeon,Seoul National University Hospital,58.465300321379644,30.64734979796343,47.33812011201316,91
A5028507019,Ik Jun Choi,The Catholic University of Korea Incheon St. Mary's Hospital,50.23736774581441,42.78901291714668,47.25802581434732,92
A5101725413,Seung‐Ah Yoo,Catholic University of Korea,54.35916834344812,35.06141735205853,46.64006794689228,93
A5084508227,Jai Hee Bae,Samsung Medical Center,38.601231585175086,58.65215722372608,46.62160184059548,94
A5000867275,Hae Seul Lee,Pusan National University Yangsan Hospital,39.436305711118884,57.14075446383086,46.51808521220367,95
A5101667014,Eunhye Park,Ewha Womans University,54.14450703097503,34.99504343995286,46.48472159456616,96
A5087294413,Sungwoong Kim,Korea University,46.77087655489084,45.65481382371793,46.32445146242168,97
A5089359189,Eunhye Yeo,Samsung (South Korea),35.27949215629714,61.49249737566876,45.764694244045785,98
A5101593845,Chan Woo Kim,Westchester Medical Center,56.80626581297462,28.93875045860299,45.65925967122597,99
A5083630059,An Na Seo,Kyungpook National University Hospital,53.43531076245996,33.593581591933294,45.49861909424929,100
A5009259352,Jamshid Abdul‐Ghafar,Kabul Medical University,45.00565966230206,45.31000730631924,45.12739871990893,101
A5107838719,Klaus‐Robert Müller,Korea University,56.25023174521873,28.180721967198764,45.02242783401074,102
A5015062816,Hyunsu An,Gwangju Institute of Science and Technology,35.356326251681175,59.244771124886434,44.91170420096328,103
A5042100493,Ji Mi Ahn,Ajou University,48.73662470104356,39.169972662635914,44.9099638856805,104
A5039106930,Huiram Kang,Catholic University of Korea,30.594365469724767,66.3077171081911,44.8797061251113,105
A5052722112,Hyun‐Young Cha,Ajou University,54.66178091436561,28.53469423771443,44.21094624370514,106
A5054931904,Yoon Ah Cho,Samsung Medical Center,50.30658486216386,33.25607728262807,43.48638183034954,107
A5069469573,Kwangil Yim,The Catholic University of Korea Uijeongbu St. Mary's Hospital,42.12872177572491,44.37788913015359,43.028388717496384,108
A5001441680,Ji Young Mun,Korea Brain Research Institute,51.028661993317606,30.70430991324557,42.89892116128879,109
A5022448366,Sung‐Hyun Jo,Soongsil University,51.61830275742868,28.055150747832748,42.1930419535903,110
A5016008254,Christian Macks,Korea Advanced Institute of Science and Technology,43.5184761747677,39.89196648831074,42.067872300184916,111
A5100406800,Eun Ji Lee,Seoul National University,38.5325258960379,46.361869289961774,41.66426325360745,112
A5018869966,Sin‐Hee Park,Unknown,48.77915374415112,30.966235708990787,41.65398653008698,113
A5055913466,Namyoung Jung,Pohang University of Science and Technology,44.300148635602156,35.15081705405812,40.64041600298454,114
A5112655953,Dong-Jin Han,Catholic University of Korea,40.131040542956015,40.87137398644786,40.42717392035275,115
A5005712891,Jang Hoon Lee,Kyungpook National University Hospital,51.23583695502043,24.04995888452413,40.36148572682191,116
A5049355350,Seunggeun Lee,Unknown,45.78470874358542,30.694939425513695,39.74880101635673,117
A5045410556,Han‐Eol Park,Yonsei University,41.65483153756165,36.18884407110393,39.46843655097856,118
A5111700801,B. J. Park,Soongsil University,35.21184537780132,44.78977089258367,39.04301558371426,119
A5020003410,Jiwon Shim,Chungbuk National University,36.698048573244954,40.71565171676471,38.305089830652854,120
A5077187526,Gyeong Dae Kim,Harvard University,27.90081834819778,53.885763006244744,38.29479621141657,121
A5113080525,Seo-Yeong Lee,Yonsei University,21.949031491144684,61.5283642891548,37.78076461034873,122
A5011174551,Eunmin Kim,Yonsei University,34.49818857372969,42.00395892774697,37.5004967153366,123
A5070538830,Moonsik Kim,Kyungpook National University Hospital,38.8927346016667,35.40407767385167,37.49727183054069,124
A5072381269,Sun‐ju Byeon,Daejeon Sun Hospital,46.78322799338949,23.301083807517383,37.39037031904064,125
A5016338335,Soohwan An,Brigham and Women's Hospital,34.79989576154289,40.7458899578967,37.17829344008442,126
A5074483970,Cheorl‐Ho Kim,Sungkyunkwan University,46.03083170329148,21.82766129893853,36.349563541550296,127
A5064908728,Song Hyun Jo,Korea Advanced Institute of Science and Technology,43.41584164690283,25.3791411727856,36.201161457255935,128
A5109616230,Minkyo Jung,Korea Institute of Machinery & Materials,39.11049023247811,30.021007980846566,35.47469733182549,129
A5104189735,Jaewoo Mo,Soongsil University,19.37650630638376,59.1387192527041,35.28139148491189,130
A5003517879,Young‐Koo Jee,Dankook University,47.89356385937795,13.34933797963805,34.07587350748199,131
A5101260841,Junseo Seo,Soongsil University,17.80002539321642,57.12377004343513,33.52952325330391,132
A5019811423,Kisung Nam,Seoul National University,27.770503398851243,41.221983238393086,33.151095334667986,133
A5101905019,Jangho Kim,Seoul National University,45.25630246511817,14.275839335448792,32.86411721325042,134
A5012763936,Pratyush Kumar Mishra,Seoul National University,39.447301992306755,22.451785591868433,32.649095432131425,135
A5043815269,Yong Woo Ji,Yonsei University,36.75427096697902,25.25814049888659,32.15581877974205,136
A5103042371,Sung Ki Lee,Konyang University,38.82571633730875,21.743083814012536,31.99266332799026,137
A5113327383,In-Kyu Lee,Kyungpook National University Hospital,23.22228493997454,44.557599358248765,31.756410707284232,138
A5100436303,Dae Ho Lee,Shinhwa Medical (South Korea),37.09121997851806,22.421949017015272,31.223511593916946,139
A5056078856,Nishant Thakur,Catholic University of Korea,41.40449446528805,14.077809283613165,30.473820392618098,140
A5052825364,Gyeongjun Kim,Seoul National University,20.194530564874107,44.30441472426741,29.83848422863143,141
A5102629578,Youngmin Chung,Sungkyunkwan University,26.483959091150616,34.825432520060744,29.82054846271467,142
A5039165896,Jae Hun Jung,Kyung Hee University,40.91530495141529,12.803328097013052,29.670514209654392,143
A5080393838,Nirmali Sharma,Seoul National University,25.303972539788578,34.23818722900399,28.87765841547474,144
A5020433927,Suran Kim,Yonsei University,37.44120646324756,15.838166866504194,28.799990624550215,145
A5038741908,Kyeong Chan Im,Sungkyunkwan University,21.043546233422713,40.23743818621689,28.721103014540383,146
A5038321538,Sungjin Min,Yonsei University,34.3706322710216,20.12829834346385,28.673698699998496,147
A5013823921,Yi Sun Choi,Yonsei University,35.494531100038145,17.379438294053717,28.248493977644372,148
A5031651244,Ji Hun Ha,Sungkyunkwan University,20.442951065580424,39.77264596691201,28.17482902611306,149
A5100772900,Jae Hun Kim,Kyung Hee University,36.77145236628594,11.687087106424007,26.737706262341167,150
A5009706510,Muhammad Joan Ailia,Pusan National University,25.01495891344936,29.243739710449784,26.70647123224953,151
A5085902390,Eun Jung Choi,Kyungpook National University,33.4173875240318,16.56102230128729,26.674841434934,152
A5060670063,Kyusun Han,Yonsei University,21.19114039438274,31.846255471179703,25.453186425101524,153
A5060611882,Chang-Mo Yoo,Seoul National University,15.419164082512617,36.21073716060243,23.735793313748545,154
A5050948502,Eungyeong Jang,Kyung Hee University,31.772807099996008,9.309265182277466,22.78739033290859,155
A5062726951,Jungkap Park,Hallym University Sacred Heart Hospital,29.86018477358919,0.0,17.916110864153513,156
A5112850024,Young Hyeh,Sungkyunkwan University,1.7137885574552019,30.03890301022875,13.043834338564622,157
A5111031978,Cho Hyun Hwang,Kyung Hee University,0.0,29.676169865369,11.8704679461476,158
